TIME,FLUX,FLUX_ERR,CADENCENO,MOM_CENTR1,MOM_CENTR2,QUALITY
1354.1074113410245,24635.42,18.856627,91190,664.0446230466304,338.97644287216195,0
1354.1088002024744,24656.008,18.861403,91191,664.0560912109394,338.96900063553716,0
1354.110189063866,24635.62,18.864876,91192,664.0735057698972,338.95814381868695,0
1354.1129667867635,24621.027,18.853863,91194,664.0513156808205,338.94885486858703,0
1354.1143556482134,24617.4,18.859161,91195,664.0901660425462,338.97538126789766,0
1354.1157445097215,24630.531,18.860582,91196,664.0835676660757,338.9644927120864,0
1354.117133371171,24625.502,18.855038,91197,664.0813840855332,338.96243687682244,0
1354.118522232678,24619.252,18.856379,91198,664.0730033747668,338.9577569663951,0
1354.1199110941275,24591.127,18.846928,91199,664.0780605332252,338.96029267219103,0
1354.1212999556355,24608.816,18.850521,91200,664.0736634395622,338.95580764639226,0
1354.1226888171436,24626.053,18.85594,91201,664.0793647824443,338.95761108935204,0
1354.1240776786503,24591.582,18.844854,91202,664.0781302835273,338.95518775554314,0
1354.1254665402157,24614.99,18.854813,91203,664.0668772838632,338.9485788595197,0
1354.1268554017238,24644.342,18.858902,91204,664.0786527790025,338.9579543817365,0
1354.12824426329,24625.61,18.854614,91205,664.0763720190921,338.9562706299078,0
1354.129633124856,24569.107,18.83508,91206,664.079794871173,338.95952569400004,0
1354.1310219864208,24603.941,18.852089,91207,664.0744890020524,338.956419029351,0
1354.132410847987,24626.0,18.856173,91208,664.0776935643489,338.9576257473594,0
1354.1337997095534,24632.547,18.868769,91209,664.0770973236857,338.95212966046705,0
1354.1351885711779,24608.371,18.86289,91210,664.0777778323602,338.95225248690025,0
1354.1365774327437,24632.928,18.860384,91211,664.0742700922236,338.9589794570926,0
1354.1379662943668,24623.742,18.860605,91212,664.0659886417722,338.94436973828175,0
1354.1393551559913,24631.67,18.859589,91213,664.0895515283469,338.96545424134246,0
1354.1407440176158,24648.238,18.869524,91214,664.0753788671642,338.95405816519013,0
1354.142132879239,24569.453,18.845726,91215,664.0762667613279,338.95385173197894,0
1354.1435217408625,24641.586,18.865444,91216,664.0826252726753,338.96058677400686,0
1354.1449106025452,24618.771,18.859709,91217,664.0728121907568,338.95590074596373,0
1354.1462994641697,24630.043,18.856024,91218,664.0732861282546,338.9555326241492,0
1354.1476883258524,24626.652,18.863256,91219,664.0777164140432,338.953257122928,0
1354.1490771875337,24639.95,18.858992,91220,664.0765192927845,338.95304761948154,0
1354.150466049216,24631.836,18.862316,91221,664.0733433016998,338.955380720497,0
1354.1518549108987,24622.502,18.852022,91222,664.0768659542059,338.955734375836,0
1354.1532437726396,24637.525,18.85762,91223,664.0782397085379,338.95298687894405,0
1354.1546326343214,24599.926,18.855206,91224,664.0789532468664,338.954455471232,0
1354.156021496061,24621.11,18.851,91225,664.078626719463,338.9574376221185,0
1354.1574103578018,24599.65,18.855406,91226,664.0730963290516,338.9500996543087,0
1354.1587992195427,24632.008,18.858007,91227,664.0770380710654,338.9618889208534,0
1354.1601880812832,24612.682,18.854565,91228,664.0745447138796,338.9515635407767,0
1354.1615769430232,24668.326,18.867262,91229,664.0788506181848,338.9554619267858,0
1354.1629658048219,24590.404,18.849808,91230,664.0755254713556,338.94994451726507,0
1354.1643546665628,24667.969,18.869453,91231,664.0767293820553,338.9594698106663,0
1354.1657435283619,24598.283,18.851732,91232,664.0732133580233,338.95342276113485,0
1354.1671323901596,24651.244,18.864258,91233,664.0804142324648,338.95582810313346,0
